transaction_id,timestamp,amount,transaction_type,status,address,recipient,is_fraudulent
1,2024-01-01 00:00:00,1226,ETH,failed,addr3306,rec5477,False
2,2024-01-01 00:01:00,1559,BTC,failed,addr2216,rec7544,False
3,2024-01-01 00:02:00,960,ETH,completed,addr126,rec3177,False
4,2024-01-01 00:03:00,1394,XRP,pending,addr2621,rec8368,False
5,2024-01-01 00:04:00,1230,ETH,failed,addr4216,rec2154,False
6,2024-01-01 00:05:00,1195,XRP,failed,addr1452,rec4688,False
7,2024-01-01 00:06:00,1824,LTC,pending,addr9201,rec1587,False
8,2024-01-01 00:07:00,1144,XRP,failed,addr9406,rec8057,False
9,2024-01-01 00:08:00,1738,XRP,pending,addr5548,rec5423,False
10,2024-01-01 00:09:00,221,BTC,failed,addr6704,rec3659,False
11,2024-01-01 00:10:00,566,XRP,pending,addr7370,rec953,False
12,2024-01-01 00:11:00,1338,XRP,failed,addr3131,rec6271,False
13,2024-01-01 00:12:00,430,ETH,completed,addr697,rec5366,False
14,2024-01-01 00:13:00,1582,LTC,failed,addr2271,rec2872,False
15,2024-01-01 00:14:00,187,ETH,failed,addr9708,rec2979,False
16,2024-01-01 00:15:00,1496,ETH,completed,addr9227,rec2971,True
17,2024-01-01 00:16:00,1223,LTC,completed,addr9728,rec4909,False
18,2024-01-01 00:17:00,971,LTC,completed,addr9006,rec1960,False
19,2024-01-01 00:18:00,1787,XRP,completed,addr8502,rec5183,False
20,2024-01-01 00:19:00,230,XRP,pending,addr9204,rec806,False
21,2024-01-01 00:20:00,1785,BTC,pending,addr9211,rec3101,False
22,2024-01-01 00:21:00,1432,ETH,failed,addr3412,rec1576,False
23,2024-01-01 00:22:00,869,LTC,failed,addr3719,rec8792,False
24,2024-01-01 00:23:00,443,XRP,failed,addr6718,rec2616,False
25,2024-01-01 00:24:00,1615,LTC,pending,addr4921,rec8804,False
26,2024-01-01 00:25:00,1537,XRP,failed,addr2045,rec5627,False
27,2024-01-01 00:26:00,905,BTC,failed,addr1117,rec8753,False
28,2024-01-01 00:27:00,485,BTC,pending,addr1157,rec627,False
29,2024-01-01 00:28:00,1315,LTC,failed,addr989,rec6885,False
30,2024-01-01 00:29:00,1055,BTC,pending,addr5588,rec2812,False
31,2024-01-01 00:30:00,376,LTC,pending,addr1829,rec1611,False
32,2024-01-01 00:31:00,1284,XRP,completed,addr7873,rec8867,False
33,2024-01-01 00:32:00,559,ETH,completed,addr6089,rec49,False
34,2024-01-01 00:33:00,1437,BTC,pending,addr2346,rec1387,False
35,2024-01-01 00:34:00,121,XRP,pending,addr9277,rec1903,False
36,2024-01-01 00:35:00,352,ETH,completed,addr3006,rec4723,False
37,2024-01-01 00:36:00,847,ETH,failed,addr4436,rec4373,False
38,2024-01-01 00:37:00,956,ETH,failed,addr6629,rec3843,False
39,2024-01-01 00:38:00,1684,XRP,failed,addr77,rec7070,False
40,2024-01-01 00:39:00,574,XRP,pending,addr5753,rec4312,False
41,2024-01-01 00:40:00,1182,LTC,completed,addr2563,rec8422,False
42,2024-01-01 00:41:00,610,ETH,failed,addr1573,rec7807,False
43,2024-01-01 00:42:00,1805,ETH,completed,addr7088,rec6467,False
44,2024-01-01 00:43:00,1599,ETH,completed,addr5971,rec7998,False
45,2024-01-01 00:44:00,799,LTC,pending,addr7953,rec6369,False
46,2024-01-01 00:45:00,1075,ETH,failed,addr6610,rec1686,False
47,2024-01-01 00:46:00,1906,XRP,completed,addr8057,rec9503,False
48,2024-01-01 00:47:00,289,ETH,pending,addr3112,rec8140,False
